,center_x,center_y
125,426.6976318359375,108.51602172851562
223,711.3768310546875,478.3349914550781
261,680.2724609375,222.096923828125
297,659.663818359375,140.49270629882812
376,440.1287841796875,494.494384765625
457,711.0417010967548,126.90194702148438
513,366.0841064453125,369.0162353515625
549,106.90420532226562,540.30810546875
