,center_x,center_y
23,599.6564636230469,135.46666717529297
58,346.29371643066406,444.2474670410156
99,715.35302734375,147.3194580078125
124,402.34765625,475.1485595703125
129,339.9779052734375,498.07122802734375
135,479.43170166015625,348.3826904296875
167,708.8179931640625,146.86676025390625
206,727.9737243652344,457.2402648925781
